单号,sku(无P),序号,机身号
9204616432,27539792,1,9007954
9204616432,27538594,1,9007961
9204616438,27539197,1,9004332
9204616438,27539790,1,9022956
9204616438,27539791,1,9027967
9204616439,27539790,1,9023409
9204616442,27539791,1,9027963
9204616455,27539790,1,9023410
9204617095,27547190,1,9000222
9204617095,27547190,2,9000174
9204617099,27538596,1,9006421
9204617099,27538596,2,9006054
9204617099,27538597,1,9006778
9204617099,27538597,2,9006916
9204617099,27539790,1,9024190
9204617099,27539790,2,9023543
9204617099,27539790,3,9023588
9204617099,27539790,4,9024191
9204617099,27547190,1,9000115
9204617099,27547190,2,9000223
9204617099,27538590,1,9001993
9204617099,27538590,2,9002043
9204617099,27538592,1,9000212
9204617099,27538592,2,9000090
9204617100,27547190,1,9000149
9204617100,27547190,2,9000180
9204617100,27547190,3,9000156
9204617100,27538597,1,9006843
9204617100,27538597,2,9006880
9204617100,27538597,3,9006956
9204617100,27538596,1,9006506
9204617100,27538596,2,9006077
9204617100,27539790,1,9023599
9204617100,27539790,2,9023614
9204617100,27539790,3,9023441
9204617100,27539790,4,9023271
9204617100,27538590,1,9002020
9204617100,27538590,2,9001465
9204617104,27547190,1,9000184
9204617104,27547190,2,9000584
9204617105,27538597,1,9006895
9204617105,27538597,2,9006885
9204617105,27538596,1,9006405
9204617105,27538596,2,9006475
9600256971,27527992,1,9813451
9600256972,27527995,1,9818045
9600256973,27527995,1,9019768
9600256974,27527995,1,9814739
